title,price,brand,type,transmission,milage,fuel,location,years,milage_class
toyota rush,244999000,toyota,1.5 TRD Sportivo Bensin,Manual,15.000-20.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2021,4
toyota rush,259000000,toyota,1.5 TRD Sportivo Bensin,Automatic,10.000-15.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2021,3
toyota rush,252000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,10.000-15.000,Bensin,"Karawaci, Tangerang Kota, Banten",2021,3
toyota rush,245000000,toyota,1.5 S GR Sport Bensin,Automatic,10.000-15.000,Bensin,"Cibodas, Tangerang Kota, Banten",2021,3
toyota rush,280000000,toyota,1.5 S GR Sport Bensin,Automatic,0-5.000,Bensin,"Gubeng, Surabaya Kota, Jawa Timur",2021,1
toyota rush,266500000,toyota,1.5 TRD Sportivo Bensin,Manual,0-5.000,Bensin,"Klojen, Malang Kota, Jawa Timur",2021,1
toyota rush,265000000,toyota,1.5 TRD Sportivo Bensin,Manual,0-5.000,Diesel,"Jl. Panji Suroso No.15/16, Polowijen, Kec. Blimbing, Kota Malang, Jawa Timur 65126, Polowijen, Kec. Blimbing, Kota Malang, Jawa TimurDapatkan petunjuk",2021,1
toyota rush,255000000,toyota,1.5 TRD Sportivo 7 Bensin,Manual,0-5.000,Bensin,"Wonokromo, Surabaya Kota, Jawa Timur",2021,1
toyota rush,250000000,toyota,1.5 TRD Sportivo Bensin,Manual,5.000-10.000,Bensin,"Telukjambe Timur, Karawang Kab., Jawa Barat",2020,2
toyota rush,245000000,toyota,1.5 TRD Sportivo Bensin,Manual,5.000-10.000,Bensin,"Mampang Prapatan, Jakarta Selatan, Jakarta D.K.I.",2020,2
toyota rush,237000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,5.000-10.000,Bensin,"Duren Sawit, Jakarta Timur, Jakarta D.K.I.",2020,2
toyota rush,225000000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,45.000-50.000,Bensin,"Pulo Gadung, Jakarta Timur, Jakarta D.K.I.",2020,10
toyota rush,237000000,toyota,1.5 TRD Sportivo Bensin,Manual,35.000-40.000,Bensin,"Pangalengan, Bandung Kab., Jawa Barat",2020,8
toyota rush,263000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",2020,7
toyota rush,247000000,toyota,S TRD Sportivo Luxury,Manual,30.000-35.000,Bensin,"Gununganyar, Surabaya Kota, Jawa Timur",2020,7
toyota rush,238000000,toyota,1.5 TRD Sportivo Bensin,Automatic,30.000-35.000,Bensin,"Jetis, Yogyakarta Kota, Yogyakarta D.I.",2020,7
toyota rush,239300000,toyota,1.5 TRD Sportivo 7 Bensin,Automatic,25.000-30.000,Bensin,"Pademangan, Jakarta Utara, Jakarta D.K.I.",2020,6
toyota rush,225000000,toyota,1.5 TRD Sportivo Bensin,Automatic,20.000-25.000,Bensin,"Tanjung Priok, Jakarta Utara, Jakarta D.K.I.",2020,5
toyota rush,260000000,toyota,1.5 TRD Sportivo Bensin,Automatic,15.000-20.000,Bensin,"Blimbing, Malang Kota, Jawa Timur",2020,4
toyota rush,248999999,toyota,S TRD Sportivo Luxury,Automatic,15.000-20.000,Bensin,"Pulo Gadung, Jakarta Timur, Jakarta D.K.I.",2020,4
toyota rush,246000000,toyota,1.5 S Bensin,Manual,15.000-20.000,Bensin,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",2020,4
toyota rush,245000000,toyota,S TRD Sportivo Luxury,Automatic,10.000-15.000,Bensin,"Kelapa Dua, Tangerang Kab., Banten",2020,3
toyota rush,227500000,toyota,1.5 G Bensin,Automatic,10.000-15.000,Bensin,"Kebayoran Baru, Jakarta Selatan, Jakarta D.K.I.",2020,3
toyota rush,235000000,toyota,1.5 G Bensin,Manual,0-5.000,Bensin,"Cicendo, Bandung Kota, Jawa Barat",2020,1
toyota rush,230000000,toyota,1.5 TRD Sportivo Bensin,Automatic,0-5.000,Bensin,"Pondok Aren, Tangerang Selatan Kota, Banten",2020,1
toyota rush,230000000,toyota,1.5 TRD Sportivo Bensin,Automatic,70.000-75.000,Bensin,"Bekasi Selatan, Bekasi Kota, Jawa Barat",2019,15
toyota rush,250000000,toyota,1.5 G Bensin,Automatic,65.000-70.000,Bensin,"Harjamukti, Cirebon Kota, Jawa Barat",2019,14
