title,price,brand,type,years,milage,location,vehicle_type,url,transmission,fuel
mitsubishi xpander,265000000.0,mitsubishi,xpander,2021.0,10.000-15.000,"Kemayoran, Jakarta Pusat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-14rb-mitsubishi-xpander-rockford-black-edition-th-2021-like-new-iid-866221588,Automatic,Bensin
mitsubishi xpander,225000000.0,mitsubishi,xpander,2018.0,35.000-40.000,"Pademangan, Jakarta Utara, Jakarta D.K.I.",car,https://www.olx.co.id/item/tdp-37jt-xpander-ultimate-at-2018-low-km-tgn1-dari-baru-iid-866216840,Automatic,Bensin
Ultimate Bensin,230000000.0,,,1.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-2019-iid-865460918,,
Ultimate Bensin,220000000.0,,,1.0,,"Cilandak, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2017-bensin-iid-866166054,,
Cross Premium Package Bensin,275000000.0,,,1.0,,"Setia Budi, Jakarta Selatan, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-2020-bensin-iid-866143784,,
mitsubishi xpander,215000000.0,mitsubishi,xpander,2019.0,50.000-55.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-th-2019-istana-jaya-motor-iid-866131904,Automatic,Bensin
mitsubishi xpander,284500000.0,mitsubishi,xpander,2021.0,15.000-20.000,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-cross-15-at-2021-black-iid-866107951,Automatic,Bensin
mitsubishi xpander,215000000.0,mitsubishi,xpander,2019.0,50.000-55.000,"Kembangan, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/mitsubishi-xpander-ultimate-at-2019-abu-iid-866100534,Automatic,Bensin
Sport Bensin,220000000.0,,,1.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-19rb-xpander-15-sport-at-2019-2020-iid-866098113,,
Limited Bensin,240000000.0,,,1.0,,"Kebon Jeruk, Jakarta Barat, Jakarta D.K.I.",car,https://www.olx.co.id/item/km-42rb-xpander-15-ultimate-limited-at-2019-iid-866096938,,
